city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
barbosa,14.18,9.71,18.96,10.07,5.5,1.83
barra do chapeu,22.8,9.31,54.09,17.81,13.68,2.43
barra do turvo,32.06,16.34,52.68,10.33,19.98,2.75
bilac,10.65,8.87,9.19,7.64,1.25,0.99
bofete,16.55,8.89,13.03,5.85,2.7,0.97
brauna,9.94,8.66,15.47,3.94,2.21,0.79
caiua,14.05,8.86,42.62,30.0,5.48,3.14
cajobi,14.05,8.65,7.03,1.21,0.75,0.0
campina do monte alegre,14.14,6.29,15.46,0.0,1.32,0.0
catigua,12.66,4.86,9.94,6.47,3.53,0.54
cedral,9.91,5.02,21.83,2.23,3.49,0.37
clementina,13.36,11.88,4.2,2.56,0.95,0.45
colombia,15.2,11.06,12,10.63,2.24,1.08
coroados,12.44,4.86,26.04,19.44,5.76,1.16
coronel macedo,24.1,12.02,20.66,17.79,2.84,0.48
cosmorama,11.93,9.05,34.21,13.12,5.96,0.68
cristais paulista,14.56,8.91,35.09,11.76,8.18,1.68
dobrada,29.57,21.39,3.76,1.03,0.5,0.0
dourado,14.04,11.07,11.13,1.05,0.79,0.18
dumont,11.32,11.25,4.19,2.5,0.16,0.31
echapora,11.76,8.32,20.19,9.13,2.81,0.61
estrela d'oeste,10.65,4.18,19.28,15.21,2.45,1.52
euclides da cunha paulista,21.91,10.67,23.77,25.7,7.36,3.76
fernando prestes,10.68,8.0,25.73,10.93,2.43,1.33
galia,17.48,11.84,28.91,10.36,5.78,1.27
guaimbe,17.39,10.88,15.89,3.97,3.01,0.42
guaracai,10.66,5.68,17.77,15.38,1.9,0.73
guaraci,16.69,10.82,13.51,3.87,0.91,0.23
guaranta,19.97,10.43,10.65,9.71,1.63,1.26
guatapara,20.21,11.86,6.18,6.09,2.87,0.48
herculandia,11.07,5.99,10.02,4.56,1.05,0.71
iacri,13.69,9.66,23.67,14.2,2.74,0.79
iaras,16.87,9.59,23.93,31.02,8.59,3.88
ibirarema,17.94,9.65,3.82,4.74,0.83,0.36
icem,12.2,7.4,5.39,0.0,0.43,0.0
iepe,13.07,5.15,11.96,7.38,1.25,0.51
igarata,20.78,9.12,23.97,0.95,6.58,0.41
ilha comprida,6.53,8.1,1.27,0.15,0.32,0.15
