city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
imigrante,1.85,1.27,27.78,2.53,0.93,0.0
inhacora,21.76,10.8,22.14,1.14,2.29,0.0
ipiranga do sul,9.52,2.11,59.86,11.58,7.48,0.0
itacurubi,13.49,5.38,61,27.31,9.97,1.54
itapuca,18.77,8.54,75.69,52.44,16.92,6.1
itati,-,7.14,-,2.6,-,0.0
itatiba do sul,11.68,8.84,59.67,26.1,7.3,1.2
ivora,4.97,4.92,9.39,2.46,0.55,0.0
jaboticaba,13.79,9.94,71.07,17.39,12.43,0.93
jacuizinho,-,11.29,-,28.49,-,4.3
jacutinga,8.74,5.39,29.78,8.82,3.28,2.45
jaquirana,17.42,12.28,20.56,14.32,4.01,1.53
jari,8.97,4.72,82.56,40.34,8.21,1.29
lagoa bonita do sul,-,5.41,-,31.98,-,2.25
lagoa dos tres cantos,3.36,2.7,34.45,1.35,2.52,0.0
lajeado do bugre,28.3,13.64,82.32,13.64,27.01,4.96
linha nova,4.59,2.04,23.85,2.04,1.83,0.0
macambara,18.49,8.08,29.74,35.35,5.63,2.53
mampituba,14.42,7.17,53.85,1.69,12.18,0.0
marata,10.57,3.42,43.61,0.0,8.81,0.0
mariana pimentel,14.63,10.78,44.21,12.5,7.93,3.02
mariano moro,10.23,6.4,34.88,1.6,6.98,0.0
marques de souza,8.27,8.6,54.14,11.31,6.02,2.71
mato castelhano,12.62,5.19,79.61,2.6,12.14,0.0
mato leitao,4.81,2.07,14.07,0.0,1.11,0.0
mato queimado,-,4.27,-,2.56,-,0.0
maximiliano de almeida,14.89,10.23,26.19,32.34,6.38,3.63
miraguai,18.95,9.66,55.08,22.44,12.89,3.41
montauri,7.5,2.86,32.5,2.86,2.5,0.0
monte alegre dos campos,15.53,9.24,82.63,41.6,14.21,5.88
monte belo do sul,4.4,0.89,37.11,1.79,3.14,0.0
mormaco,14.47,4.39,90.21,1.46,14.47,0.0
morrinhos do sul,5.19,1.86,27.68,1.86,2.08,0.0
mucum,6.89,3.86,3.89,0.35,0.9,0.35
muitos capoes,12.9,2.62,61.88,26.97,7.62,0.75
muliterno,19.29,11.11,76.14,21.48,18.78,5.19
nicolau vergueiro,7.33,7.75,74.67,3.1,6.67,0.0
nova alvorada,12.7,9.91,46.83,4.95,8.73,1.35
