destinatarios;2
finais;1
efetuados;2
consequentemente;1
fossem;3
bancarias;2
contrariando;3
determin;2
ndeg;10
nidade;7
respeito;10
observado;3
preliminar;2
smos;1
devolvidos;3
entanto;4
entende;3
havido;1
dolo;1
entendemos;2
administrativa;1
conhecida;1
fomos;1
notificados;1
visto;1
todo;2
movimentado;1
devolvido;3
notificacao;1
recebida;1
impulsionadora;1
prova;1
restituido;1
parametro;1
utilizado;4
tipo;1
cometido;1
daquele;1
pessoa;1
clareza;1
copia;1
demonstrativo;1
evidencia;1
referidas;1
ajudas;1
mani;1
festacaounidadeexaminada;1
unicipal;4
argumenta;6
dev;1
olucao;1
importa;1
considerou;1
permaneceram;1
inobservancia;2
promocao;1
recuperacao;1
abordado;1
epresenta;1
dificuldade;1
comprovar;6
escentralizar;1
terceiro;1
concretizar;1
intempestividade;2
tempestividade;1
agente;2
utilizada;2
portaria;9
gm;2
ms;2
recurs;2
financiamento;2
constituidos;1
componentes;6
componente;3
sau;1
sanitaria;3
piso;7
fixo;3
pfvs;2
variavel;2
pvvs;2
assistencia;1
inst;1
ituido;1
recentemente;1
destinam;1
incluindo;3
dengue;2
chikungunya;1
virus;1
zika;1
repassa;1
implementacao;1
contingenciais;1
prevencao;1
epidemias;1
emergencia;2
estrategicos;3
especif;1
icos;1
financ;1
iamento;1
observados;1
saldo;11
significativo;1
configurando;1
disponivel;1
atualmente;1
enos;1
corresponde;2
disponi;2
veis;2
final;6
percentual;3
dispon;1
anteriores;1
objetos;1
pactuados;1
par;1
aquele;1
