city,total,regular,military_and_gov,irregular,entrepreneur,employers
heliopolis,415.5,710.97,737.94,296.52,288.83,1188.77
iacu,697.18,676.33,747.22,393.44,409.64,15061.34
ibiassuce,548.09,687.02,870.67,454.12,502.27,-
ibicarai,656.2,823.87,1141,406.42,657.99,2428.95
ibicoara,597.89,647.27,750.38,415.18,624.82,6419.51
ibicui,555.01,627.22,998.88,339.27,674.87,2265.72
ibipeba,478.52,766.3,1006.73,317.94,362.64,3593.47
ibipitanga,536.07,702.92,823.62,531.02,401.23,498.96
ibiquera,565.84,841.54,830.54,367.74,437.47,510
ibirapitanga,578.81,740.84,1069.23,411.04,672.15,1366.63
ibirapua,743.56,762.16,873.44,401.9,795.6,4036.92
ibirataia,568.29,782.61,659.9,392.64,523.97,1767.32
ibitiara,527.29,751.69,969.82,473.31,411.75,2000
ibitita,373.46,744.72,1020.51,313,305.62,254.47
ibotirama,658.27,772.75,1137.13,450.56,570.79,2289.36
ichu,479.73,565.1,973.45,303.01,361.62,2147.52
igapora,540.67,683.8,1272.73,418.88,500.22,3457.06
igrapiuna,493.06,644.18,931.44,391.36,415.3,-
iguai,511.67,727.43,765.45,311.34,483.57,2509.93
ilheus,986.41,951.98,2894.07,487.54,985.06,3985.04
inhambupe,518.85,637.26,924.42,369.27,439.54,2677.93
ipecaeta,419.11,549.58,491.37,401.66,341.48,506.86
ipiau,1245.43,919.25,1326.56,456.34,792.82,27053.27
ipira,517.46,637.21,1325.97,370.06,477.56,1717.57
ipupiara,513.36,637.75,1002.45,393.28,446.23,1282.49
